ticker,status,rows,train_rows,test_rows,accuracy,prec_default,precision,size_mb,date_start,date_end,error,reason
RELIANCE.NS,SKIPPED,,,,,,,3.6,,,,already trained
TCS.NS,SKIPPED,,,,,,,2.8,,,,already trained
HDFCBANK.NS,SKIPPED,,,,,,,3.3,,,,already trained
INFY.NS,SKIPPED,,,,,,,3.2,,,,already trained
ICICIBANK.NS,SKIPPED,,,,,,,2.9,,,,already trained
HINDUNILVR.NS,SKIPPED,,,,,,,3.3,,,,already trained
ITC.NS,SKIPPED,,,,,,,3.5,,,,already trained
SBIN.NS,SKIPPED,,,,,,,3.6,,,,already trained
BHARTIARTL.NS,SKIPPED,,,,,,,2.9,,,,already trained
KOTAKBANK.NS,SKIPPED,,,,,,,2.9,,,,already trained
LT.NS,SKIPPED,,,,,,,2.8,,,,already trained
AXISBANK.NS,SKIPPED,,,,,,,3.0,,,,already trained
ASIANPAINT.NS,SKIPPED,,,,,,,2.8,,,,already trained
MARUTI.NS,SKIPPED,,,,,,,2.5,,,,already trained
TITAN.NS,SKIPPED,,,,,,,3.6,,,,already trained
SUNPHARMA.NS,SKIPPED,,,,,,,3.3,,,,already trained
BAJFINANCE.NS,SKIPPED,,,,,,,2.9,,,,already trained
WIPRO.NS,SKIPPED,,,,,,,3.2,,,,already trained
ULTRACEMCO.NS,SKIPPED,,,,,,,2.7,,,,already trained
ONGC.NS,SKIPPED,,,,,,,3.2,,,,already trained
NTPC.NS,SKIPPED,,,,,,,2.7,,,,already trained
JSWSTEEL.NS,SKIPPED,,,,,,,2.6,,,,already trained
POWERGRID.NS,SKIPPED,,,,,,,2.4,,,,already trained
M&M.NS,SKIPPED,,,,,,,3.5,,,,already trained
ADANIENT.NS,SKIPPED,,,,,,,3.0,,,,already trained
ADANIPORTS.NS,SKIPPED,,,,,,,2.2,,,,already trained
TATASTEEL.NS,SKIPPED,,,,,,,3.6,,,,already trained
HCLTECH.NS,SKIPPED,,,,,,,2.9,,,,already trained
BAJAJFINSV.NS,SKIPPED,,,,,,,3.0,,,,already trained
COALINDIA.NS,SKIPPED,,,,,,,1.9,,,,already trained
TECHM.NS,SKIPPED,,,,,,,2.5,,,,already trained
INDUSINDBK.NS,SKIPPED,,,,,,,2.9,,,,already trained
HINDALCO.NS,SKIPPED,,,,,,,3.4,,,,already trained
DRREDDY.NS,SKIPPED,,,,,,,3.6,,,,already trained
CIPLA.NS,SKIPPED,,,,,,,3.2,,,,already trained
BPCL.NS,SKIPPED,,,,,,,3.2,,,,already trained
EICHERMOT.NS,SKIPPED,,,,,,,3.6,,,,already trained
DIVISLAB.NS,SKIPPED,,,,,,,2.7,,,,already trained
BRITANNIA.NS,SKIPPED,,,,,,,3.6,,,,already trained
APOLLOHOSP.NS,SKIPPED,,,,,,,2.8,,,,already trained
GRASIM.NS,SKIPPED,,,,,,,2.6,,,,already trained
NESTLEIND.NS,SKIPPED,,,,,,,2.2,,,,already trained
SBILIFE.NS,SKIPPED,,,,,,,1.1,,,,already trained
HEROMOTOCO.NS,SKIPPED,,,,,,,2.5,,,,already trained
TATACONSUM.NS,SKIPPED,,,,,,,3.2,,,,already trained
BAJAJ-AUTO.NS,SKIPPED,,,,,,,2.6,,,,already trained
HDFCLIFE.NS,SKIPPED,,,,,,,1.1,,,,already trained
SHRIRAMFIN.NS,SKIPPED,,,,,,,2.7,,,,already trained
TATAMOTORS.NS,FAILED,,,,,,,,,,No data returned,
LTIM.NS,FAILED,,,,,,,,,,No data returned,
ADANITRANS.NS,FAILED,,,,,,,,,,No data returned,
ADANIGREEN.NS,OK,1702,1361,341,0.5455,0.5789,0.5882,1.1,2019-07-01,2026-05-18,,
BAJAJHLDNG.NS,OK,5644,4515,1129,0.4996,0.5075,0.5319,2.8,2003-07-31,2026-05-18,,
AMBUJACEM.NS,OK,5676,4540,1136,0.5062,0.5206,0.5205,2.7,2003-06-19,2026-05-18,,
AUROPHARMA.NS,OK,7360,5888,1472,0.4871,0.4744,0.4811,3.4,1997-01-01,2026-05-18,,
BANKBARODA.NS,OK,5675,4540,1135,0.4943,0.5121,0.5238,2.6,2003-06-19,2026-05-18,,
BERGEPAINT.NS,OK,5677,4541,1136,0.5158,0.5174,0.5093,2.8,2003-06-18,2026-05-18,,
BEL.NS,OK,5675,4540,1135,0.4855,0.5025,0.5223,3.0,2003-06-19,2026-05-18,,
BIOCON.NS,OK,5214,4171,1043,0.5235,0.5451,0.5473,2.7,2005-04-01,2026-05-18,,
BOSCHLTD.NS,OK,5676,4540,1136,0.5026,0.5246,0.5750,2.6,2003-06-18,2026-05-18,,
